Name,Position,Nationality,Shirt Number
Wojciech Szczęsny,Goalkeeper,Poland,
Marc-André ter Stegen,Goalkeeper,Germany,
Joan García,Goalkeeper,Spain,
Diego Kochen,Goalkeeper,USA,
Álvaro Cortés,Defence,Spain,
Jofre Torrents,Defence,Spain,
Guille Fernández,Midfield,Spain,
Pedro Fernández,Midfield,Spain,
Toni Fernández,Offence,Spain,
Marc Bernal,Defensive Midfield,Spain,
Gerard Martín,Left-Back,Spain,
Pau Cubarsí,Centre-Back,Spain,
Fermín López,Central Midfield,Spain,
Lamine Yamal,Right Winger,Spain,
Marc Casado,Defensive Midfield,Spain,
Álex Balde,Left-Back,Spain,
Pablo Gavira,Central Midfield,Spain,
Pedri,Central Midfield,Spain,
Eric García,Centre-Back,Spain,
Raphinha,Left Winger,Brazil,
Ferrán Torres,Right Winger,Spain,
Ronald Araújo,Centre-Back,Uruguay,
Dani Olmo,Attacking Midfield,Spain,
Jules Koundé,Right-Back,France,
Frenkie de Jong,Central Midfield,Netherlands,
Andreas Christensen,Centre-Back,Denmark,
Marcus Rashford,Left Winger,England,
Robert Lewandowski,Centre-Forward,Poland,
